datetime,dma_A,dma_B,dma_C,dma_D,dma_E,dma_F,dma_G,dma_H,dma_I,dma_J
01/01/2021 00:00,5.335442566,10.08440374,3.7,26.47225862,89.46019642,1.26E-16,22.18171748,12.46079377,22.59352953,18.05045824
01/01/2021 01:00,4.81276967,10.00770571,3.5625,24.47929606,87.30778265,1.25E-16,21.29735117,10.73429841,22.59352953,17.16751929
01/01/2021 02:00,5.264145634,9.960520732,3.2725,24.19361447,84.72280062,1.25E-16,21.78146662,9.827789166,22.59352953,17.0282152
01/01/2021 03:00,5.429501634,9.860128513,2.84,24.5929366,82.58585259,-1.58E-16,21.33750971,9.822029297,22.59352953,16.7100981
01/01/2021 04:00,5.109480693,9.859720751,2.735,25.20623043,82.29502078,-1.59E-16,21.09668271,9.755831083,22.59352953,17.09166719
01/01/2021 05:00,5.453334147,9.78749051,2.7175,25.56908318,82.92509162,-4.42E-16,22.00927442,10.28309649,22.59352953,17.51140179
01/01/2021 06:00,6.323452655,9.956821207,2.8675,29.4192501,85.57525072,-1.59E-16,22.87245487,12.78157033,22.59352953,19.59775188
01/01/2021 07:00,8.005101322,10.50687509,3.075,32.38386217,91.02456129,-1.60E-16,24.97677823,19.74618287,22.59352953,21.26449664
01/01/2021 08:00,10.07292721,10.95422782,3.8675,37.45620516,96.8494457,1.22E-16,27.78467189,23.14159111,22.59352953,23.35380075
01/01/2021 09:00,10.09391111,10.56553991,4.8225,42.4493755,98.50518266,1.21E-16,25.70267875,23.68536286,22.59352953,24.98481222
01/01/2021 10:00,9.838499257,10.56200628,5.87,42.1429251,94.23372983,4.02E-16,23.78320328,24.59131908,22.59352953,25.17475731
01/01/2021 11:00,9.706986053,10.29176187,5.96,44.19492122,92.61461414,4.00E-16,23.27372995,23.42564363,22.59352953,25.45725332
01/01/2021 12:00,9.209891049,10.0763892,5.6625,40.70511052,89.47780807,1.16E-16,22.1647012,23.45176782,22.59352953,24.90401017
01/01/2021 13:00,9.374411957,9.997622619,5.2475,40.30120701,87.27606159,1.14E-16,21.23806533,22.66886289,22.59352953,23.55654268
01/01/2021 14:00,8.930280567,9.838256392,4.93,37.62144185,83.91880009,-1.71E-16,21.91089644,20.25107059,22.59352953,23.58064073
01/01/2021 15:00,8.369551871,9.690817666,4.4,34.69102682,81.25938389,-1.73E-16,21.34305668,18.87213173,22.59352953,22.10265234
01/01/2021 16:00,8.7525,10.1525,4.3725,31.43,82.7325,-1.75E-16,20.86,19.0975,22.59352953,22.2075
01/01/2021 17:00,5.445,9.17,4.5825,37.595,81.445,-1.77E-16,22.295,18.2525,22.59352953,21.575
01/01/2021 18:00,5.855,9.175,4.362670718,39.185,80.6575,-1.79E-16,23.875,18.54,22.59352953,22.4825
01/01/2021 19:00,5.835,9.6975,4.5675,40.9025,83.845,-1.82E-16,23.7475,19.6575,22.59352953,23.43
01/01/2021 20:00,5.8275,9.8475,4.8075,38.76,85.875,-1.84E-16,25.025,19.485,22.59352953,24.1575
01/01/2021 21:00,5.805,9.3025,4.455,34.6325,79.6825,9.68E-17,22.545,17.9575,22.59352953,22.2275
01/01/2021 22:00,4.8125,8.9275,3.76,32.56,73.1725,9.47E-17,19.365,15.375,22.59352953,19.9825
01/01/2021 23:00,4.405,8.555,3.4675,31.7425,68.365,3.75E-16,18.8325,14.7175,22.59352953,19.5325
02/01/2021 00:00,3.3575,8.1625,3.175,30.05,63.15,1.29E-16,16.8325,13.6825,22.59352953,18.855
02/01/2021 01:00,2.38,7.865,2.9225,27.2425,58.53,1.31E-16,15.425,11.685,22.59352953,20.335
02/01/2021 02:00,3.2425,7.755,2.79,27.0825,54.745,1.29E-16,13.0125,11.1475,22.59352953,18.75
02/01/2021 03:00,3.14,7.655,2.6025,26.685,54.3475,-1.34E-16,12.5525,10.8325,22.59352953,18.0825
02/01/2021 04:00,2.7875,7.7375,2.6175,26.0775,54.2425,-1.36E-16,11.945,10.6225,22.59352953,18.7525
02/01/2021 05:00,3.8025,7.8575,2.7475,23.65,55.1225,-3.99E-16,12.6975,11.2075,22.59352953,19.4775
02/01/2021 06:00,4.575,8.135,2.9,25.2725,59.1625,-1.40E-16,13.7325,12.71,22.59352953,20.885
02/01/2021 07:00,5.8375,8.8925,3.57,31.1625,67.1075,-1.43E-16,17.44,14.7325,22.59352953,21.835
02/01/2021 08:00,6.6925,9.9925,4.3175,40.855,81.1625,1.16E-16,21.3675,19.65,22.59352953,23.765
02/01/2021 09:00,7.8775,11.075,5.1525,46.795,95.9675,1.14E-16,29.32,24.2375,22.59352953,25.62
02/01/2021 10:00,8.08,11.1525,6.12,49.23,105.055,3.73E-16,32.0225,25.02,22.59352953,26.91
