"","datetime","rainfall","temperature","humidity"
"1","01/01/2021 00:00",0,7.2,79
"2","01/01/2021 01:00",0,7.3,79
"3","01/01/2021 02:00",0,7.6,78
"4","01/01/2021 03:00",0,8.2,75
"5","01/01/2021 04:00",0,7.7,77
"6","01/01/2021 05:00",0.1,7.5,81
"7","01/01/2021 06:00",0,7.6,82
"8","01/01/2021 07:00",0,7.6,84
"9","01/01/2021 08:00",0.5,7.2,91
"10","01/01/2021 09:00",0,8,86
"11","01/01/2021 10:00",0.3,8,88
"12","01/01/2021 11:00",0,8.8,87
"13","01/01/2021 12:00",0,9.4,82
"14","01/01/2021 13:00",0,10.3,77
"15","01/01/2021 14:00",0.1,10,80
"16","01/01/2021 15:00",0.5,10.1,80
"17","01/01/2021 16:00",0.7,9.8,84
"18","01/01/2021 17:00",0,10.2,85
"19","01/01/2021 18:00",0,10.8,81
"20","01/01/2021 19:00",0,10.6,75
"21","01/01/2021 20:00",0.4,9.7,85
"22","01/01/2021 21:00",0.1,9.7,84
"23","01/01/2021 22:00",0,10.5,77
"24","01/01/2021 23:00",0,10.6,80
"25","02/01/2021 00:00",0,10.7,79
"26","02/01/2021 01:00",0,10.8,79
"27","02/01/2021 02:00",0,10.8,78
"28","02/01/2021 03:00",0,11.1,73
"29","02/01/2021 04:00",0.2,10.2,78
"30","02/01/2021 05:00",0,10.3,77
"31","02/01/2021 06:00",0,10.5,73
"32","02/01/2021 07:00",0,10.6,73
"33","02/01/2021 08:00",0,9.9,74
"34","02/01/2021 09:00",0,10.5,74
"35","02/01/2021 10:00",0,10.8,70
"36","02/01/2021 11:00",0,11.1,67
"37","02/01/2021 12:00",0,11.6,70
"38","02/01/2021 13:00",0.1,10.6,75
"39","02/01/2021 14:00",0.1,9.8,75
"40","02/01/2021 15:00",1.2,9.2,81
"41","02/01/2021 16:00",1.7,10.7,78
"42","02/01/2021 17:00",3,9.7,81
"43","02/01/2021 18:00",4.1,9.9,82
"44","02/01/2021 19:00",3.6,9.2,84
"45","02/01/2021 20:00",3.9,9.8,79
"46","02/01/2021 21:00",0,10.1,77
"47","02/01/2021 22:00",0.2,10.2,76
"48","02/01/2021 23:00",0,9.9,73
"49","03/01/2021 00:00",0.5,9.7,78
"50","03/01/2021 01:00",0,9.4,76
"51","03/01/2021 02:00",0,9.6,74
"52","03/01/2021 03:00",0,10,74
"53","03/01/2021 04:00",0,10,75
"54","03/01/2021 05:00",0,10.1,76
"55","03/01/2021 06:00",0,10.2,75
"56","03/01/2021 07:00",0,9.6,76
"57","03/01/2021 08:00",0,9.2,78
"58","03/01/2021 09:00",0,10,72
"59","03/01/2021 10:00",0,10.3,71
"60","03/01/2021 11:00",0,10.7,68
"61","03/01/2021 12:00",0,11.1,68
"62","03/01/2021 13:00",0,12.1,65
"63","03/01/2021 14:00",0,11.5,71
"64","03/01/2021 15:00",0,11.3,73
"65","03/01/2021 16:00",0.1,10.4,75
"66","03/01/2021 17:00",0,9.9,74
"67","03/01/2021 18:00",0,9.5,81
"68","03/01/2021 19:00",0,9.3,74
"69","03/01/2021 20:00",0,9.3,73
"70","03/01/2021 21:00",0,8.9,73
"71","03/01/2021 22:00",0,8.6,76
"72","03/01/2021 23:00",0,8,74
"73","04/01/2021 00:00",0,7.9,71
"74","04/01/2021 01:00",0,8.1,70
"75","04/01/2021 02:00",0,7.9,71
"76","04/01/2021 03:00",0,7.9,71
"77","04/01/2021 04:00",0,8.2,70
"78","04/01/2021 05:00",0,8.4,69
"79","04/01/2021 06:00",0,8.2,71
"80","04/01/2021 07:00",0,8.2,71
"81","04/01/2021 08:00",0,8.3,72
"82","04/01/2021 09:00",0,7.9,75
"83","04/01/2021 10:00",0.1,7,80
"84","04/01/2021 11:00",0.3,6.7,79
"85","04/01/2021 12:00",0,7.7,78
"86","04/01/2021 13:00",0,7.9,76
"87","04/01/2021 14:00",0,8.2,76
"88","04/01/2021 15:00",0,8.7,74
"89","04/01/2021 16:00",0,8.9,73
"90","04/01/2021 17:00",0,9.1,75
"91","04/01/2021 18:00",0,8.7,77
"92","04/01/2021 19:00",0,8.2,78
"93","04/01/2021 20:00",0,8.5,76
"94","04/01/2021 21:00",0,8.1,75
"95","04/01/2021 22:00",0,8.1,73
"96","04/01/2021 23:00",0,7.8,74
"97","05/01/2021 00:00",0,7.9,71
"98","05/01/2021 01:00",0,7.9,72
"99","05/01/2021 02:00",0,7.5,73
"100","05/01/2021 03:00",0,7.9,72
"101","05/01/2021 04:00",0,7.4,74
"102","05/01/2021 05:00",0,7.2,75
"103","05/01/2021 06:00",0,7.3,75
"104","05/01/2021 07:00",0,7.2,74
"105","05/01/2021 08:00",0,7,75
"106","05/01/2021 09:00",0,8,72
"107","05/01/2021 10:00",0,8.6,69
"108","05/01/2021 11:00",0,8.8,67
"109","05/01/2021 12:00",0,9,67
"110","05/01/2021 13:00",0,9.3,68
"111","05/01/2021 14:00",0,9.6,68
"112","05/01/2021 15:00",0,9.8,65
"113","05/01/2021 16:00",0.4,8.7,72
"114","05/01/2021 17:00",0.8,7.5,76
"115","05/01/2021 18:00",0.3,7.2,76
"116","05/01/2021 19:00",0.1,7.3,76
"117","05/01/2021 20:00",0.1,7.1,75
"118","05/01/2021 21:00",0,7.2,74
"119","05/01/2021 22:00",0,7.1,75
"120","05/01/2021 23:00",0,7,74
"121","06/01/2021 00:00",0,7.2,75
"122","06/01/2021 01:00",0,7.2,76
"123","06/01/2021 02:00",0.6,7.2,77
"124","06/01/2021 03:00",0,7.5,75
"125","06/01/2021 04:00",0,7.5,75
"126","06/01/2021 05:00",0,7.2,76
"127","06/01/2021 06:00",0.2,7.2,80
"128","06/01/2021 07:00",0,6.9,80
"129","06/01/2021 08:00",0,7,80
"130","06/01/2021 09:00",0,7,80
"131","06/01/2021 10:00",0,7.7,79
"132","06/01/2021 11:00",0,7.7,80
"133","06/01/2021 12:00",0,8.3,79
"134","06/01/2021 13:00",0,8.7,71
"135","06/01/2021 14:00",0,8.7,75
"136","06/01/2021 15:00",0,7.8,79
"137","06/01/2021 16:00",0.2,6.9,78
"138","06/01/2021 17:00",0,6.9,81
"139","06/01/2021 18:00",0.1,6.7,83
"140","06/01/2021 19:00",1.8,5.8,84
"141","06/01/2021 20:00",0,6,83
"142","06/01/2021 21:00",0,6.3,84
"143","06/01/2021 22:00",0,6.3,84
"144","06/01/2021 23:00",0,6.1,84
"145","07/01/2021 00:00",0,5.9,82
"146","07/01/2021 01:00",0,6.2,84
"147","07/01/2021 02:00",0,5.7,85
"148","07/01/2021 03:00",0,5.5,86
"149","07/01/2021 04:00",0,5.9,83
"150","07/01/2021 05:00",0,6.2,83
"151","07/01/2021 06:00",0,6,82
"152","07/01/2021 07:00",0,6.3,79
"153","07/01/2021 08:00",0,6.6,79
"154","07/01/2021 09:00",0,6.8,77
"155","07/01/2021 10:00",0,6.9,77
"156","07/01/2021 11:00",1.4,6.6,83
"157","07/01/2021 12:00",0,7.5,77
"158","07/01/2021 13:00",0,8.4,73
"159","07/01/2021 14:00",0,7.9,75
"160","07/01/2021 15:00",0,8.1,72
"161","07/01/2021 16:00",0,7.8,83
"162","07/01/2021 17:00",0,7.7,82
"163","07/01/2021 18:00",0,7.3,86
"164","07/01/2021 19:00",0,7.4,85
"165","07/01/2021 20:00",0,7,86
"166","07/01/2021 21:00",0,6.4,84
"167","07/01/2021 22:00",0,6.1,84
"168","07/01/2021 23:00",0,6,79
"169","08/01/2021 00:00",0,5.8,80
"170","08/01/2021 01:00",0,6.3,72
"171","08/01/2021 02:00",0,6,73
"172","08/01/2021 03:00",0,6,74
"173","08/01/2021 04:00",0,5.8,71
"174","08/01/2021 05:00",0,6,73
"175","08/01/2021 06:00",0,5.6,72
"176","08/01/2021 07:00",0,6.1,71
"177","08/01/2021 08:00",0,6.3,75
"178","08/01/2021 09:00",0,6.1,73
"179","08/01/2021 10:00",0,6.6,73
"180","08/01/2021 11:00",0,6.8,65
"181","08/01/2021 12:00",0,7.1,63
"182","08/01/2021 13:00",0,7.3,64
"183","08/01/2021 14:00",0,6.9,62
"184","08/01/2021 15:00",0,7.1,61
"185","08/01/2021 16:00",0,6.8,60
"186","08/01/2021 17:00",0,6.5,63
"187","08/01/2021 18:00",0,6.3,61
"188","08/01/2021 19:00",0,6.5,58
"189","08/01/2021 20:00",0,6.3,61
"190","08/01/2021 21:00",0,6.5,56
"191","08/01/2021 22:00",0,6,58
"192","08/01/2021 23:00",0,5.7,64
"193","09/01/2021 00:00",0,5.5,66
"194","09/01/2021 01:00",0,5.4,65
"195","09/01/2021 02:00",0,5.1,65
"196","09/01/2021 03:00",0,5,65
"197","09/01/2021 04:00",0,5.1,65
"198","09/01/2021 05:00",0,4.8,65
"199","09/01/2021 06:00",0,4.8,64
"200","09/01/2021 07:00",0,4.8,65
"201","09/01/2021 08:00",0,4.6,68
"202","09/01/2021 09:00",0,4.6,69
